1.5m humi,1.5m temp,5cm earth,radio,all_product
68,8.3,9.9,14.45,777.5
58,11.9,11.7,23.61,303
56,10.9,10.6,19.71,524.5
63,13.3,12.6,23.79,181.1
60,10.6,11.6,21.79,1303
70,10.3,11.7,9.95,134.4
67,11.2,11.4,9.98,862
89,8.1,10.4,5.66,176.6
90,8.6,10.9,6.32,50
85,7.9,9.9,4.8,596.75
80,9,10.6,15.88,408
83,8.5,10.9,15.72,1368
67,9.4,11.2,24.49,532
54,11.6,12.2,19.88,60
75,8.9,11.9,23.15,1181.75
61,9.9,11.2,20.57,415.2
62,10.5,12.5,23.03,1055
59,9.9,11.2,27.04,137.4
67,9.1,12.6,25.01,1240.5
52,13,12.3,22,148.2
49,13.5,12.8,10.66,1378.5
74,13.7,13.7,12.65,145.6
64,14.3,14.9,15.27,1416
69,14.5,14.3,26.71,162.1
77,14.5,15.3,22.74,1557
75,15.5,15.6,9.93,337.4
79,14.2,14.5,6.55,30
85,15.8,16.3,11.05,967.5
69,16.2,16.4,25.15,459.1
69,16.9,17.8,22.51,835
70,18.5,18.1,24.77,314
73,17.5,16.7,21.25,10
76,18.3,18.6,24.06,1097
81,16.3,17.2,5.55,579.3
88,17.3,17.8,6.55,1040
87,17.8,17,7.08,363.4
93,17.3,16.2,7.36,20
94,17.1,18.2,10.38,642.5
94,15,16.4,3.82,562
97,13.6,16.8,3.1,1080
87,9.3,14.2,4.66,252
79,10.8,14.4,6.22,30
96,9.3,14.3,2.78,735
73,11.9,14.2,24.06,81.2
74,12.1,15.2,23.51,555
92,12.4,14,3.53,383.3
96,12.4,13.8,1.57,30
97,10.9,14.4,3.69,951.5
89,15,15.1,15.19,283
89,14.2,16.5,22.42,1165
78,13.9,16,24.41,356.9
71,15.6,16,18.65,10
87,12.9,17.2,23.55,702.5
69,12.9,15.9,29.51,669.8
77,13.1,17.3,27.48,1127.5
61,15.2,16.5,29.12,320.3
59,15.1,16,22.74,20
70,15.2,17.5,26.79,1116.5
63,16.7,17.2,24.43,461.4
71,16.4,18.1,23.04,790
60,12.8,18.1,29.02,1120.1
62,13.2,19.2,22.24,19
49,15.3,17.3,22.78,50
58,12.9,18.1,29.24,616
55,11.8,17,30.21,865.8
65,12.2,17.2,28.43,1213
54,12.9,16.8,22,1245.2
38,15.8,16.6,17.81,60
62,13.3,16.7,21.4,1075.75
52,14.7,17.9,27,760.4
49,15.7,18.9,32.2,171.6
62,14,17.9,26.48,1307
57,15.8,18.4,27.79,914.8
56,16.2,19.1,31.63,28
43,17.5,18,20.75,40
64,15.5,18.2,27.11,1075.5
61,17.3,19.4,27.71,797.4
46,17.8,20.2,31.57,50.4
66,16.6,19.5,26.48,1599.25
63,18.4,20.3,24.3,897
73,17.4,19.4,20.46,110
69,18.3,20.1,21.58,1123.25
69,21.5,22,25.95,1226.3
73,20.2,21.6,25.83,1130.25
76,20.3,22.4,24.38,1430.8
58,20,21.9,28,150.4
70,20.7,21.7,21.12,10
70,21,22.3,24.82,1144.5
67,20.8,22.7,28.23,666.1
60,20.6,23,31.2,100
72,21.7,22.8,23.05,1290.25
71,19.9,22.4,18.33,631.5
64,20.8,22.4,23.08,100
50,22.6,22.7,18.18,76
75,21.8,22.4,15.33,599
82,18.8,20.1,8.22,932.3
88,19.6,21.1,10.2,757.25
69,15.6,19.9,21.04,2494.7
65,15.7,20.7,30.52,28
64,16.7,18.8,16.45,20
75,16,21.8,23.56,1184.25
67,14.6,18.1,30.95,1276.3
58,16.8,19.6,36.24,9
73,16.3,20.3,29.35,1107.95
69,17.4,19.2,,72
67,17.8,19.3,30.92,986.6
51,19.4,20.6,34.62,200
65,18,18.5,24.5,130
72,18.9,21.1,29.03,1867.5
70,20.1,21,29.67,1757.9
69,20.8,22.1,28.49,1218
69,21,22.3,27.49,1672.8
57,23,22.6,32.6,136
62,22.3,20.8,22.04,110
72,22.3,22.8,25.96,1035
72,20.4,22.4,21.88,1551.2
51,22.8,22.8,26.47,108
71,21.6,22.5,19.06,1026
91,18.1,21.3,2.86,2997.8
91,19.1,20.4,3.41,70
98,17.6,21.3,2.47,870.35
70,15.7,19.4,23.99,2741.2
82,16,19.8,17.93,2104.5
71,17.9,19.7,30.46,2128.7
53,18.8,21.2,30.14,230
52,20.9,19.6,24.11,70
81,18,21.2,29.22,1382
66,19.1,20.8,21.84,1904.3
69,19.2,21.3,19.84,1616.9
78,16.9,21,25.04,803.7
51,18.8,21.7,34.66,54
79,16.9,19.8,17.54,30
78,18.1,22.3,25.56,1405.85
73,18.3,21.2,24.94,1012.5
64,17.8,21.7,26.75,60
65,17.8,20.9,23.79,84
79,18,22,23.64,1947.2
68,20.8,23.1,29.12,3884.3
64,21.7,25.4,27.47,119
49,22.2,22.8,32.44,212
59,20.9,24.1,26.5,5
70,21.6,23.4,27.39,1157.45
69,22,24.2,28.56,2586.1
65,21.9,25.2,27.36,32
75,22.2,24.7,27.18,1987.45
75,22.6,24.9,28.52,2197.2
70,21.6,24.4,27.49,24
72,21.9,25.6,20.81,8
66,24.4,23.4,22.37,30
86,21.7,25.8,25.81,1185.5
84,21,24.4,14.2,2492.1
82,19.7,22.4,6.07,7
79,21.2,22.7,8.73,66
91,21.2,24.3,10.53,1893.1
94,19.1,22,7.42,2895.9
,,,,12
76,20.1,21.1,14.17,80
88,20.2,21.2,8.79,30
98,19.1,22.4,6.16,704.25
81,20.6,22.6,14,2466.2
71,19.6,21.3,24.13,20
88,21,23.7,22.42,1143.25
84,18.9,22.8,10.45,5412.2
82,18.8,21.6,,6
80,16.6,20.7,13.94,102
69,17.3,19.2,14.78,170
67,19.7,22.1,19.76,149
80,19.3,22,11.15,100
92,19.1,23.3,7.75,924
88,17.7,21.4,12.76,3284.6
73,17.4,20,26.93,95
67,17.8,19.5,24.55,309.4
90,19.1,23.4,19.03,1321.75
80,19.8,22,24.51,3029
70,20.4,22.6,36.65,56
71,20,22.7,29.14,258.5
82,20.6,24.2,26.9,1068.7
77,20.7,23.2,24.2,2987.4
68,22,24.7,34.88,110
65,21.5,24.5,28.92,113
79,22,25.2,25.53,1920.25
91,18.5,22,8.27,3121.2
65,21.1,23,,4
71,20.7,24.1,21.91,203.6
84,19.8,21.7,5,110
85,21.2,24.2,11.51,1552.4
77,20.1,22.1,29.06,3422.5
83,19.1,23.8,25.6,176.8
73,19.5,24.4,27.53,264.6
85,20.2,24.4,26.35,1278.1
76,20.9,23.3,26.17,5384.3
66,21.9,27.1,25.94,125
70,21.3,24.4,32.15,228
69,20.7,24.7,23.55,681
64,21.1,23.7,30.22,144
83,21.1,25.2,25.67,1048.5
85,20.5,21.8,,2
80,21.2,23.3,17.04,3458.2
74,21.3,26.4,18.21,30
93,17.9,21.6,7.63,370
,,,,839
84,22.1,24.7,16.08,1627
79,22.6,24.4,24.49,3567.3
72,22.7,27.1,19.98,8
93,19.9,21.4,10.02,571
,,,,409.6
86,22.4,25.7,18.68,942.85
81,22.3,25.1,24.97,3499.6
80,22,23.9,28.88,250
80,21.2,23.2,,4
77,21.6,23.8,21.96,514
86,22.4,25.9,21.2,1939.75
78,22.6,25.8,28.76,2618.7
90,19.7,23.1,18.02,181
77,20.4,23.1,15.55,1047.5
75,22.4,23.9,20.9,80
78,21.5,24.2,,17.5
70,24.4,24.9,23.79,30
85,22.7,26.6,24.51,2382.3
85,21.1,25.1,16.73,2568.5
