1.5m humi,1.5m temp,5cm earth,radio,all_product
92,25.6,28.6,11.94,13878.5
88,25.5,27.6,,10
92,24.6,,,3153.6
91,25.9,27.2,13.71,8
84,28.4,31.3,222.36,30
95,25.5,27.5,8.66,76
93,26,28.9,17.07,308.6
85,27.2,29.3,19.78,12578.9
81,27.1,28.5,,58
90,25.1,,,3054
87,26.9,27.9,15.59,130
84,27.8,29.3,23.1,99.9
80,27.9,30.1,24.41,13842.4
74,28.2,29.1,,9
87,26.1,,,3769.6
78,28.7,28.2,13.05,60
76,28.4,29.1,23.37,10
84,28.1,30,18.02,243.5
80,27.7,30.2,,17832.3
70,29.2,29.7,,23
84,25.9,,,2733.7
80,28.9,31.6,,90
76,29.2,30,,247
86,26.7,30.3,24.15,322
82,27.5,30.3,25,18058.3
75,26.8,29.2,,65
89,24.5,,,2872.6
79,28.8,31.8,203.09,40
78,28.2,29.7,21.8,190
85,27,29.9,25.37,160
80,26.7,29.9,25.67,10858.8
79,28.8,31.6,203.31,50
67,26.4,28.7,24.39,21305.4
75,24.9,,,2647.6
85,23.1,27.9,19.1,13576.3
76,27.1,29.6,,78.8
87,22.7,,,3191.4
78,27.5,29.9,24.17,55
84,24.2,27.5,,13147.2
77,26.9,29.4,,59
87,23,,,3737.6
85,26.2,30,,40
74,27.8,29.8,,112
85,25.8,28.8,14.3,10
81,25.3,27.9,21.88,16708.1
82,24.1,,,2917.4
81,26.1,28.7,15.35,106
,,,,15242.6
,,,,4
,,,,84.8
,,,,2817.4
,,,,184
78,23.2,27,18.3,12547
69,26.2,28.1,,43
77,22.2,,,2400.2
79,25.6,27.1,14.83,158
80,25.3,28.3,,180
71,24,28.5,29.57,20606.5
74,23.3,,,3246.8
65,26.5,29,,7
83,24.8,28.5,24.47,143.3
71,23.3,28,24.17,20686.7
64,25.6,28.9,,4
71,22.9,,,2170.2
94,22.3,27.6,13.72,228
71,22.9,27.6,20.62,21086.9
74,22,,,1580
79,24.4,26.6,14.59,36
66,23.3,27.5,29.4,16570.8
69,22.4,,,1857
80,24.9,27,19.32,190
71,24.3,28.3,23.45,14200.6
83,22.2,,,2553.6
72,26,27.7,21.34,178
98,21.9,25.5,4.07,19461.1
82,24.5,26.3,,44
95,21.3,,,4149.3
96,24.1,26.6,129.9,40
89,24.9,25.6,7.41,60
98,20.6,24.4,5.09,21155.5
96,20,,,2224.3
95,22.3,23.9,13.78,14
97,23.4,24.8,4.27,82
94,25.3,26.5,0,275
99,22,24,4.33,19373.9
92,24.4,25.1,,4
95,21.2,,,2161.1
96,25.1,24.4,6.55,82
93,23.7,25.1,10.85,15555
94,23.5,26,,8
97,21.8,,,1476.5
,,,,102
92,23.4,25.4,,10911.4
94,24.7,25.8,,37
88,23.5,,,1327
84,25.9,26,,112
99,20.9,24.4,5.06,14775.6
92,20.5,,,3537.5
97,21.6,23.6,,196
86,22.4,25.2,,22821
88,22.5,24.7,,52.6
87,21.4,,,1777
84,23,24,,116
87,21.9,24.9,,28262.6
87,21.2,,,2738.5
90,22.9,25.3,,8
90,25.7,27.8,16.25,90
89,23.4,24.5,,124
99,19.5,23.3,5.43,19388.8
93,22.5,24.9,,19
94,19.1,,,2179.4
84,25.4,26,16.92,126
83,20.8,22.7,8.33,25285.8
96,21.5,24.3,,16
81,20.2,,,2521
92,23.9,25.4,8.88,90
96,21.7,26,5.69,40
72,22.4,24.4,22.96,30767.4
77,21.2,,,2295.9
87,23.5,24.8,9.57,158
90,23.1,25.6,14.17,180
64,22.2,25.2,29.31,12523.9
71,20.9,,,2861
77,23.5,25.5,,17
77,23.6,25.7,21.36,72
69,20.1,24.1,,40571
90,23.1,25.9,13.17,133.2
68,20,,,2663
83,23.4,26.3,,20
77,23.1,24.7,,151
80,21.8,24.2,6.07,224
72,21.1,23.5,,35078.2
83,20.4,23.4,,16
70,20.2,,,4108.5
71,22.1,22.3,,20
83,22,24.5,,20
97,20.7,22.5,,166
87,23.1,24.1,6.73,77.7
99,18.3,22,,16789.5
92,21.3,23.1,,28.4
97,17.5,,,2531.9
99,20.5,21.5,,4
94,21.7,22.6,,120
84,22.5,24.5,19.76,20
86,21.4,24,,24678.7
83,20.6,,,1838.3
86,22.4,24,,258
90,22,24.6,16.68,379.5
85,20.6,24,20.45,10196.1
88,21.7,24.7,,4
87,19.9,,,2211.8
84,22.9,23.6,13.23,12
87,22.1,24,17.8,56
92,21.2,25.1,12.11,22.6
87,21.1,24,18.96,14361.5
85,20.1,,,2180.4
86,23.5,24,13.61,56
86,22.7,25.3,,6
87,23.4,24.5,13.13,224
89,23.4,25.3,20.67,557.7
82,21.1,24.3,21.26,17265.7
86,19.8,,,2596.6
82,23.9,24.5,13.15,4
86,23.3,26.4,,4
84,24.8,25.4,20.94,216
73,23.8,25.3,15.62,130
78,22.3,24.6,,22215.7
72,24.2,26,,33
80,21,,,3579.8
70,25,24.4,,156
77,24.2,24.6,,130
82,23.9,25,7.06,664.4
71,22.4,25.1,27.96,17485.2
62,22.7,24.6,,17
70,21.9,,,2203.8
82,19.3,23.8,11.75,11
65,23.9,23.5,13.6,8
66,23.9,24,16.12,103.5
73,24.1,25.4,22.98,100
74,20.5,23.7,,21825.9
58,23.6,24.5,,4
67,20.4,,,1611.4
58,24.2,23.2,,18
56,25,23.8,,94
70,21.2,23.9,25.73,17279.7
88,20.9,24.6,9.8,3091.1
63,22.4,24.1,,24
74,19.7,,,2052.2
68,22.9,23.3,17.02,430
74,21.3,24.1,,18946.8
87,23.6,24.7,15.23,520
74,20.1,,,2328.4
80,21.1,24.2,,105.5
63,23.7,23.3,,80
,,,,20
83,23.3,25.4,13.75,2556.2
80,21.5,24.4,23.26,12507.8
78,20.2,,,2153
69,22.3,24.4,,6
71,23.1,23.2,13.52,28
81,22.9,25.4,219.26,20
77,22.4,23.3,20.19,109.5
79,20.8,23.6,15.03,4376.2
71,21.4,23.9,24.43,1834.3
67,21.5,,,755
67,23.8,23.2,13.6,18
86,18.9,23,19.35,450
78,20.1,22.4,21.81,11144
74,20.1,22.8,,79
77,19.2,,,2613.8
69,22,21.7,13.57,104
72,21,21.8,18.55,148
86,20.4,23.1,15.58,5333.6
82,18.9,21.2,,20621.4
75,20.4,22.7,,76
83,18.3,,,2367.5
74,21.3,21.5,,36
78,21.8,24,,20
80,21,21.6,,84
82,22.2,24,12.17,1378.6
82,18.9,21.8,13.73,19387.5
75,21.3,23.9,,137
76,18.4,,,3962.3
66,21.8,22.2,13.68,272
69,22.6,23,13.61,198
83,22.5,24.3,10.69,2862.4
84,20,22.4,15.56,13718.8
79,19,,,2210.6
87,19.8,22.8,9.59,10
90,20.5,23.9,,49.9
79,21.5,21.9,13.54,191
82,22.1,22.9,7.34,234
94,21,21.9,,208
96,22.1,24.3,3.32,250
99,18.9,21.6,,10980.3
94,20.9,23.8,,61
97,17.9,,,1496.7
98,20.1,23,3.75,40
97,21.6,22.4,,182
84,22.9,24.4,,1953.5
94,18.1,21.1,15.83,11727.8
91,17.1,,,1552.5
85,19.9,23,,6
81,21.6,22.6,19.26,170
91,21.3,24.5,11.15,210
85,19.7,21.8,17.46,5717.7
82,18.8,,,2541.6
82,21.1,21.9,13.37,22
86,20.5,22.3,,216
88,20.8,24.1,13.76,2871.4
84,18.4,21.7,23.84,4227.9
85,18,,,2463.4
81,20.5,21.8,13.62,29
85,19.9,23.1,,43.5
84,21.3,22.6,16.78,164
82,24.6,24.8,17.12,1628.6
89,20.5,23.1,14.26,14
99,19.1,20.6,2.03,4765
82,23.3,23.2,,108
90,20.3,,,3568.2
77,23.3,21.6,13.76,280
80,23.7,22.6,14.23,256
85,22.2,24.5,18.9,4160.8
92,21,22,4.7,5082.8
94,18.4,,,2242
86,23.2,24.6,,281
77,24.3,23.1,13.65,112
83,22.8,23.2,16.81,204
86,21.2,22.2,13.56,293.5
87,21,24.4,20.81,840
87,19.8,22.8,5.27,30
92,17.4,20.5,4.66,5463.3
88,16.1,,,1989
86,22.9,25,,216
81,22.1,22.8,17.97,180
89,21,23.9,10.76,4109.5
98,17.9,20,4.02,7003.6
89,20.3,23.8,,138
94,16.8,,,1857
85,20.4,21.6,13.24,4
91,20.3,22.2,9.46,228
99,17.8,20.2,4.81,5323.4
92,21.5,23.9,10.27,662.1
88,17.6,,,1866.6
91,19.4,22.9,,40
90,19.9,21.3,13.77,85
77,22.8,22.1,13.66,280
85,23.2,24.4,16.77,4164
94,18.9,20.1,9.8,5308.3
85,19.3,,,2245.3
85,22.4,24,,82.4
84,23.1,23.1,14.53,188
67,16.7,20.4,13.68,49
94,,23.4,4.91,3090.1
95,15.7,22,1.79,130
81,15.5,18.9,10.89,3088.1
69,16.2,21.4,,86
80,14.1,,,2312.6
93,15.1,19.8,5.78,160
91,18.4,21.8,3.81,5395.6
69,17.1,18.6,14.15,3478.7
72,15.8,,,2235.2
67,17.8,19.4,13.78,63.5
76,17,20.6,,20
97,16.3,18.9,2.97,168
66,19.5,19.4,13.37,268
82,20.6,22.3,10.16,3449.7
89,16.3,20.5,8.27,150
78,16.8,18.6,22.73,4209.9
74,18.8,21.1,,28
74,16.4,,,1680.6
86,19.2,20.2,11.69,60
80,18.7,19.9,13.28,282
84,21,23,14.09,3867.3
86,17.6,20.9,14.99,130
81,18.2,20.1,19.3,1978
85,18.7,21.5,,96
77,17.6,,,1975.6
85,19.6,20.6,12.92,220
86,19.5,22.6,10.14,3529.6
93,17.1,20.7,6.67,190
86,17.5,19.9,,996
88,17.8,21.4,,116
79,17.5,,,1010.8
79,19.1,20.1,,313.5
91,18.2,19.9,,100
41,11.6,17.6,13.72,266.5
73,13.8,20.7,6.75,4845.2
70,13.2,19.3,5.08,20
63,10.6,17.4,13.41,974
59,8.8,,,1214
51,12,18.2,,110
70,13,17.9,7.55,160
60,9.7,13.4,,632.8
81,8.3,15.6,19.2,4324.9
76,6.8,14.3,17.7,70
74,6.5,12.5,,600
67,9.6,14.4,,302.8
83,4.3,,,1440.6
70,9.2,12.7,,200
79,11.3,14.8,,328
83,11,16.3,11.65,2913.3
76,9.6,14.7,11.35,124
83,10.2,14.6,,925
79,11.5,15.7,,286
80,8.9,,,946.8
68,9.2,13.6,,260
80,8.7,15.4,13.02,1938.8
77,7.8,13.1,,540
75,8.4,14.3,,208
82,5.6,,,770
83,7.5,14.4,15.35,80
76,8.9,13,,200
80,9.8,15.3,17.83,2348.8
85,8.7,14.4,14.52,143
79,6.7,12.4,,210
76,8.6,13.6,,348
80,6.2,,,846
70,9.6,13.1,,144
83,9,12.7,,120
76,8.4,14.8,17.73,2951.3
86,8.4,14.4,14.53,12.6
80,8,12.3,19.14,200
77,7.4,,,576
71,9.2,13.4,,417
65,10.1,12.9,13.61,168
73,9.3,12,15.57,198
75,9.7,14.4,18.25,2780.7
82,9.2,14.5,14.63,120
79,8.2,12.4,20.93,10
73,9.8,13.4,,340
72,7.1,,,1249.2
63,12.3,16.5,176.81,9.5
73,10,12.2,16.17,340
75,11,12.9,,192
82,10.5,14.9,17.03,4486.6
85,8.4,13.8,14.7,80
79,10.9,14.1,,157
78,7.2,,,1077.1
86,7.6,12.1,,15
72,11.3,12.4,,84
83,9.9,14.6,16.37,2345
87,8.8,12.3,13.61,30
85,11.9,14.3,,372
78,9.6,,,915
81,11.4,12.3,13.87,196
82,11.5,14.9,15.61,2462.4
79,10.6,14.3,12.87,125.9
75,9.2,,,660
68,13,13.6,13.59,28
73,11.8,14.7,,148
80,12.4,13.6,12.34,40
81,10.7,14.5,17.39,2817.4
71,10.9,13.6,,443
71,8.3,,,357.2
64,11.6,12.8,,120
74,10.3,12,,120
60,14.2,13.3,13.63,130
77,12.2,14.7,14.71,3049.8
81,9.5,13.7,12.21,111.2
65,13.4,14.8,,303
70,9.8,,,514
71,12.8,12.5,14.35,160
65,14.2,13.7,13.7,290
89,11.2,14.8,6.63,2716.8
84,9.4,12.2,12.46,20
78,12.9,15.2,,292
79,9.5,,,681
82,11.8,12.9,7.14,240
82,12,13.5,13.66,530
83,12.3,15,13.22,2764.9
82,10.4,13.9,13.47,86.4
83,9.4,,,907
83,11.5,14.6,,136
83,12.8,13.7,12.23,240
80,10.9,12.7,13.67,426
84,9.6,14.5,12.29,2452.8
79,9.6,13.3,13.27,40
88,7.9,,,741
81,10.1,13.9,,390
78,10.8,12.4,12.43,20
83,8.5,13.7,14.77,2434.9
80,9.6,13.2,14.15,70
83,10.6,13.4,,224
78,8.6,,,699.5
79,11.2,12.5,,70
60,13.8,15.8,,48
82,10.3,11.7,,140
91,11.6,12.9,,226
83,10.9,13.8,14.78,1861.4
83,9,12.8,13.12,70
90,11.3,14.4,,216
87,8.7,,,410
67,14,16,,30
80,13.4,12.9,,280
83,10.6,13.6,10.83,2144.2
82,9.1,,,1315.8
74,12,13.7,,159
73,11.9,12.6,13.66,159
75,12.7,15.6,168.84,40
83,11.4,12.8,11.35,100
77,12.5,13.9,14.78,2931.8
80,11,13,12.62,30
76,9.3,,,454
66,13.3,12.7,13.65,24
69,13.8,14,,86
68,14.7,15.9,166.5,20
72,12.9,12.3,12.99,80
78,11.5,14.2,4.73,3273.3
81,9.1,12.3,1.58,126.2
77,9.5,13.6,,163.6
78,6.8,,,1375.2
75,11.8,15.4,161.37,100
79,10.9,12.4,3.71,160
76,8.2,12.4,5.36,3484.8
69,7.6,10.7,6.58,30
84,6.8,11.6,,164
74,3.2,,,749
82,8.2,10.3,4.31,120
81,4.8,8.9,13.69,210
86,8,11.5,4.73,3911.9
72,6.1,9.9,6.1,50
89,6.3,11.2,,146
65,2.7,,,745
97,6.6,9.8,4.92,200
61,6.3,8.3,,170
95,7.6,11.5,5.4,3887.4
58,7.1,9.7,11.69,30
61,3.2,,,1100
64,7.6,10.9,,158
91,7.4,9.3,,180
86,7,10.8,9.13,410
57,6,9.1,13.29,20
59,5,7.5,,78
70,6.6,10.5,,276
50,3.5,,,637
81,7.1,11.8,,120
92,6.2,8.8,,160
87,7.6,10.9,11.1,950
76,5,8.3,13.83,50
75,3.6,,,733.6
72,7.6,7.8,13.69,68
82,7.1,10.3,,24
80,8.4,12.1,172.85,10
83,8.1,9.5,11.57,60
88,7.6,11,12.34,840
78,5.1,,,240
84,8.5,11.3,,48
84,9.3,9.7,10.49,240
82,7.6,10.9,12.26,5578.4
73,6.1,8.9,11.69,30
78,7.1,10.7,,134
74,3.4,,,551.4
80,7.9,9,11.44,120
69,7.1,8.2,13.67,160
80,7.2,10.2,13.58,80
75,4.9,8.3,12.08,20
73,3.2,,,205
77,6.9,10.2,,96
79,7.5,8.4,12.1,240
86,7.4,10.5,12.86,3696.7
77,7.2,8.8,10.74,33
86,10.8,11.4,,20
77,9.6,,,266
83,9.2,9.1,,120
90,8,10.7,12.1,965.9
90,12.3,13,,141
73,11.9,,,100
90,10.8,10.3,9.38,280
95,8.7,11.3,10.44,3069.7
79,6.4,,,116
89,9.2,12.5,,185
91,7.3,9.8,8.26,20
93,10.8,11.6,6.88,140
73,7.4,11.2,6.92,1581.8
60,5.8,9.1,8.01,10
76,4.4,10.5,,16
84,5.6,9.6,7.32,140
89,4.4,9.4,4.52,2855.9
55,-2.4,,,269
81,2,8.4,,18
90,2.3,6.9,5.27,470
70,8.3,9.1,9.21,1604.4
76,4.8,8.4,,57
59,2.2,,,150
,,,9.45,80
82,7.2,9.4,10.51,3137.2
69,7.2,8.9,,36
59,3,,,218
62,6.1,7,10.96,30
75,8.2,7.6,10.14,180
77,3.9,8.8,13.54,1247.1
61,3.7,6.3,11.63,73
74,4.8,6.1,11.23,260
78,3.3,8,13.67,2765.5
68,1.7,5.4,12.11,20
69,2.5,7.3,,88
74,-1.5,,,40
76,3.1,5.1,11.42,228
81,5.4,7.6,12.51,1584.1
77,5.9,5.2,9.28,120
85,8.1,8.5,1.73,1909.3
86,7.1,9.1,,10
88,4,,,40
89,2.8,5.3,1.2,20
80,9.5,7.3,1.46,160
79,2.6,7.1,4.57,903.4
71,1.6,5,7.64,100
71,1.4,3,13.69,80
78,3.5,6.6,10.64,1513.9
74,-1.5,,,24
76,3.1,4.2,9.84,200
80,4.6,7.1,6.6,1704.1
,,,6.9,60
77,4.4,7,6.47,2998.9
79,0.5,5.1,,48
64,-2.3,,,172
56,1.5,3.1,13.69,48
74,1.7,3.4,4.81,208
86,5.9,7.2,12.14,2456.9
81,4.5,3.9,9.81,120
83,4.8,7.5,11.56,3159.8
77,5.2,4.1,9.13,40
86,4,6.9,12.13,2194.4
74,6.9,6.6,,10
87,3.1,5.4,9.71,50
83,4.9,4.1,9.91,160
86,5.5,6.7,8.08,1418
78,6.1,6.9,,56
89,7.8,8.1,7.8,2219.5
89,6.8,8.2,10.37,2857
90,6.4,6.8,6.28,24
62,0.4,5.9,12.83,2549.7
52,-4.3,,,10
45,-1.4,3.7,11.09,29.1
49,2.1,7.7,161.49,16.5
60,-1.5,2.2,10.49,60
81,0.5,4.8,9.93,3127.2
70,0.4,2.8,7.77,20
79,4.4,5.5,,16
74,3.5,2.8,7.1,40
88,4.5,5.6,8.58,1998.5
83,7.5,5.3,7.71,510
97,5.7,6.4,5.67,3307.8
84,7.5,6.4,5.19,280
71,0.8,5.8,4.92,1782.6
66,-0.8,3.9,7.14,60
75,-2.7,4.8,10.5,2331.9
80,-3.5,2.1,10.46,80
83,3.4,4.8,9.46,2844.1
81,4.9,3.6,5.54,120
88,3.9,5.1,9.63,1564.1
85,5.3,4.1,7.78,40
78,2.4,5.3,12.23,1180.3
70,1.9,2.6,9.8,220
75,1.3,4.5,11.48,2547.2
64,2.1,3.4,146.71,4
73,-1.8,,,240
72,1.9,2,6.31,260
75,1.9,4.2,7.21,606.5
82,-2.3,,,0
73,2.7,2.9,6.61,60
67,-3.8,3.3,7.03,1104.2
78,-3.7,1.4,11.35,1904.2
67,-1.9,2.8,159.46,20
67,-3,-0.7,9.63,100
77,1.6,1.6,7.49,931
78,-7.7,,,6
79,1.7,-0.2,4.65,160
73,3.6,2.7,7.77,981.6
72,3.9,0,4.07,60
64,2.2,3.5,9.89,1425.2
,,,7.05,120
68,-1.5,2.8,10.95,1318.2
57,-4.7,1.4,156.04,160
69,-3.7,0.3,11.18,60
79,-2.1,1.6,13.18,1288.2
56,1.8,4.3,161.54,10
78,-2,-0.4,10.01,240
65,0.5,1.7,12.34,1591
57,1.6,2.3,4.53,1726.7
54,-0.4,-0.3,5.79,140
62,0.7,2.8,12.98,1246.2
59,0.3,-0.3,,180
72,-2.4,1.8,13.38,983.7
76,-2.8,-0.7,8.95,160
76,-1.5,1.4,12.69,2411.2
80,-0.7,0.2,162.17,16
74,0.1,-0.7,10.32,160
78,0.4,2.1,11.41,2798.8
77,0.4,-0.3,,60
75,-0.7,2.4,8.22,1528
62,-3.9,0.9,,120
67,-2.1,-0.2,,60
73,-2.7,1.7,9.76,436.2
67,-3.9,-0.6,10.16,160
80,-2.9,1.4,6.38,1534.5
63,-4.3,0.2,171.1,40
67,-4.1,-0.8,10.05,100
66,-2.6,1.2,13.72,540.2
50,-0.2,3.3,163.51,50
63,-4.4,-1.3,11.82,40
73,0.1,1.5,9.81,1575.6
58,0.4,-0.7,8.45,200
70,0.2,1.8,9.38,2352.6
59,1.5,3.8,170,60
79,-2.7,-0.6,8.7,60
54,-2.3,1.6,14.44,1469.1
58,-4.4,-0.8,12.17,220
70,-2.2,1.1,12.41,959.6
82,-5.1,-0.1,148.83,24
48,1.4,3.5,161.08,10
69,-2.9,-1.2,8.96,120
61,-2.1,1.4,13.98,1264.1
70,-3.7,-0.9,11.75,60
73,-1.3,1.2,12.95,1785.5
64,0,4,,30
73,-3.4,-1.2,,240
71,5.3,2.7,7.8,1686.7
68,-5.4,,,370
64,3.5,-0.1,5.92,200
77,3.1,4,7.65,2219.6
69,4.7,6.5,176.49,10
75,3.6,0.2,6.31,60
76,4.8,4.8,3.78,1165.1
73,2.7,4.2,11.75,319.2
58,5.1,6.8,,90
81,1,0.5,,280
65,1.5,3.9,13.48,325.2
67,0.8,1,,100
59,0.4,3.3,14.65,469.9
47,2.5,5.7,172.03,160
74,-1.5,0.7,13.41,280
52,0.8,3.1,,614.2
63,-1.4,0.7,12.68,120
38,2,5,172.57,130
68,-1.1,2.4,15.3,23.8
70,-3.2,0.8,177.2,16
64,-1.4,2.2,12.97,70
74,-2.2,0.8,10.22,300
75,-1.9,2.3,11.52,200.1
64,-0.9,3.6,178.66,20
77,-3.8,0.7,13.12,240
,,,6.52,402.8
,,,,20
,,,,240
62,0.3,2.3,15.46,87.6
66,1.6,2.7,12.26,30
71,0.2,0.4,13.88,220
,,,16.23,123.2
,,,,140
48,4.5,6.4,173.21,6
64,1.9,1.5,14.59,100
54,4.8,4.2,16.31,254.3
68,3.1,2.2,,220
66,4.3,5,14.13,343.4
67,3.5,3.3,,80
66,-0.2,4.7,9.31,113
81,-3,3.1,9.63,135.6
70,-4.3,1.1,12.41,100
64,-4.1,2.6,18.93,113
68,-0.1,2.5,17.03,159.6
57,1.3,4.5,177.03,20
51,-0.7,-0.1,16.06,160
68,1.5,3.4,8.18,143
57,1.1,0.9,10,60
65,-0.4,2.5,15.28,179.2
68,-0.7,0.8,14.69,220
,,,17.34,70
,,,,120
49,-2.3,2.7,17.24,120
41,-0.6,4.5,191.16,10
51,-3.8,0.5,15.62,180
66,-2.6,2.2,14.92,11.2
64,-2.4,0.3,16.99,220
70,0.7,2.6,17.92,56
76,1.4,1.5,15.98,240
83,4.6,3.3,158.96,8
70,4.6,3.8,17.29,44.8
55,5.3,0.1,15.74,1
72,5.5,3.4,15.57,140
53,5.8,4.1,15.2,60
81,5.9,5.3,5.97,220
75,1.4,4.2,19.72,260
69,4.7,4.8,17.91,180
66,8.7,5.5,14.72,100
48,4.4,5.6,20.07,60
63,1.1,4.9,175.8,12
58,2.8,5.9,17.42,60
62,2.1,4.3,17.35,60
69,4.3,5.3,18.89,60
59,8,9.5,185.97,60
71,5.3,6.1,19.14,140
,,,,60
66,10.1,6.1,13.66,20
80,11.8,10.9,195.87,60
68,10.6,,5.09,110
75,13.8,8.8,10.85,70
96,9.5,10.7,3.15,360
80,6.8,9.5,19.33,240
74,8.7,9.2,,180
83,10,9.3,,220
91,9.2,10.6,5.11,33.6
83,7.9,8.7,6.33,240
90,4.9,9.4,4.17,45.2
71,6.8,8.3,16.04,56.5
58,7.6,10.4,186.85,30
67,5.4,6.9,17.65,400
64,7,9.3,20.5,56.5
58,6.6,7.5,20.34,140
79,,9,13.34,112
70,7.3,11.3,,10
82,4.4,7.3,,320
73,7.4,9.2,21.72,48
73,7.5,7.6,19.26,160
85,12.1,11.7,135.87,10
75,13.4,9.3,10.89,220
93,10.5,11.6,3.55,200
94,10.4,11.4,7.55,160
50,8.6,11.6,,15
71,6.1,8.8,,220
72,8.9,9.7,,100
85,12.4,14,,10
82,11.2,10.3,,200
67,10.3,14.1,214.43,10
59,12.4,15,197.04,10
47,16.6,15.6,27.12,30
88,15.4,18.2,176.97,10
62,14.5,17.7,,10
52,10.9,14.8,,200
36,16.3,17.1,209.36,10
48,13.7,16,27.48,22.4
55,13.3,16.1,27.85,11.2
43,15.6,26.6,,10
74,11.7,15.3,12.44,56
76,15.3,15.3,196.74,20
75,18.9,17.8,19.26,44.8
77,19.4,19,15.82,192.6
80,19.1,18.5,198.84,20
76,20,18.5,15.28,300
97,17.7,18.6,4.17,45.2
60,16.7,18.2,25.1,78.4
45,14.3,18.2,193.06,8
63,17.4,18.4,211.71,20
69,14.5,17.6,24.76,200
72,15.6,18.1,21.54,44.5
70,16.3,18,217.82,10
87,13.3,17.1,237.13,20
76,13.8,16.7,19,420
82,12.6,15.3,12.81,140
,,,27.77,576.8
54,14.2,15.8,,20
,,,29.51,228.2
71,12.1,15.5,27.44,360
70,14.3,16.9,28.87,403.7
71,14,16.2,,30
71,16.7,17.9,29.73,300.4
68,16.9,17.4,27.37,340
71,18.8,19,28.53,1084.4
77,18.1,18.4,208.89,40
71,16.4,19.1,25.29,842.3
72,16.4,18.8,13.1,786
67,15.8,18.3,222.16,20
71,16.7,19,20.37,340
68,16.4,18.4,22.45,403.5
67,19.7,19.2,20.43,508.2
72,18.4,18.4,227.66,40
65,18.7,19.8,18.27,160
73,19.7,19.7,14.51,311.6
68,19.5,20.1,18.44,200
73,17.2,19.2,7.13,359.1
49,15.6,18.4,28.25,312.8
59,14.4,18,23.49,320
55,14.9,18.9,29.77,1408.5
40,17.6,17.9,206.91,64
54,15.2,18,28,380
65,17.1,19.3,28.28,1431
59,18.3,20.1,27.98,868.6
66,17.8,,,16
56,17.6,19.6,18.85,794.3
70,18.9,19.9,18,735
63,18,,,8
65,19.4,19.6,21.55,200
76,19.1,20.9,29.2,1467.5
77,19.1,20.5,25.59,160
66,20.9,22.4,25.15,2414
75,19.9,,,24
59,23,21,,20
76,20.6,21.7,22.75,100
65,20.7,22.7,28.78,858.4
68,21,23.4,26.47,1300.7
63,19.6,23.5,30,1346
70,18.4,22.5,29.35,20
73,18.9,23,30.14,1200.8
69,17.5,,,55.5
61,19.8,23,23.31,866.8
63,21,21.8,24.43,120
82,20.1,22.8,6.58,1739.9
82,18.3,,,44
87,19.9,22.8,11.5,320
64,20.2,23,30.61,1358.4
63,17.4,,,42
68,19.8,22.3,,300
59,21.2,24,29.83,810
42,19.7,23.7,35.08,10
40,21.2,21.5,13.01,68
56,18.6,,,115
60,21.6,23,28.85,256
71,22,24.5,29.27,1223.2
75,19.9,21.9,,54
79,20.4,23.3,,160
70,23.2,25.8,28.19,1734.4
70,21.4,,,85
76,22.9,24.7,26.75,32
57,23.2,25.5,24.63,1697.4
69,21,,,47
61,25.4,25.2,21.95,180
83,20.1,22,17.01,2129
76,15.4,,,82
70,19.5,21.2,13.63,76
85,19.8,21.4,13.98,404
83,18.8,22,16.61,2100.1
69,16,,,50
70,18.2,23.1,,20
93,18.3,21.2,6.39,60
80,19.1,21.6,13.13,2637.4
77,19,23.7,,16
65,18.2,,,202
67,20.6,21.8,13.54,20
82,20.6,22.5,21.57,48
77,20.4,22.5,26.03,1812.1
85,17,,,32
77,20.7,23,20.67,2217.9
87,17.7,,,98
76,22.6,24.2,20.68,40
81,21.7,23.6,25.65,1408.8
75,20.3,,,36
70,21.1,22.8,12.59,1754.2
77,19.1,,,276.5
51,24.7,24.5,10.9,216
69,23.4,24.9,21.42,368
81,19.7,22.1,10.6,1794.7
51,21.1,23.2,13.59,44
63,18.7,,,192
81,21.1,22.7,17.25,1120.1
88,18.7,22.1,,8
90,15.4,,,118.7
91,18,20.8,13.73,206
90,20.3,22.2,15.55,352
75,22.3,23.6,23.57,628.8
81,19,,,118
81,23.1,24.2,17.86,797.3
81,20.7,,,299.5
79,21.5,23.4,30.48,20
76,21.7,21.3,13.66,100
83,21.4,23.4,,8
85,22.8,23.7,15.34,60
81,24.2,25.5,25.93,903.6
87,21.7,,,275
86,23.8,25,21.57,560
78,26.3,27.2,27.24,1574.5
84,23.3,,,260
78,24.5,27.8,,4
84,25.3,26.6,24.69,684
73,24.6,24.7,13.48,480
80,25.8,27.7,23.26,1635.8
83,24.1,,,506.7
72,26.2,27.2,31.66,10
75,26.8,26.1,,22
86,25.3,27.4,26.42,320
75,26.7,28.5,28.66,1229.8
82,24.1,,,632.8
74,25.8,27.8,25.75,343.9
73,24.4,25,13.57,256
80,25.6,27.6,26.71,600
85,25.7,27.5,9.89,825.6
94,22.5,24.7,6.47,1281.2
95,21.7,,,594.4
92,23,25.3,,9
88,24.3,23.9,13.77,10
,25,26.7,6.78,128
89,24.7,26.1,13.61,1269.4
82,23,,,604.4
85,23.9,25.3,17.28,333.1
78,23.3,23.8,13.64,136
93,24.3,25.4,16.43,376
84,25.9,26.6,19.45,1398.5
75,25.8,25.8,22.58,80
88,24,24.9,,4
80,24.1,,,747.9
